1,3405;4890;11651;3951;2932
2,12897;16439;943;7400;13617
3,3015;8694;6092;7662;3566
4,1351;756;6614;2992;777
5,5486;6760;846;8146;8148
6,650;671;691;889;8035
7,9640;10823;8652;8941;11379
8,3210;10905;1574;4067;3964
9,6957;6980;5434;6365;7569
10,2477;7787;4900;8224;5380
11,3661;4781;241;2915;4703
12,2435;4013;3867;451;4778
13,15;6542;470;11568;2769
14,2537;3076;4580;2590;967
15,3547;12572;2052;489;14297
16,1188;12359;1663;14783;963
17,1182;2795;5317;14023;5850
18,6573;6207;15484;5702;4921
19,4798;4236;5995;13467;3578
20,12425;8818;9894;2978;2533
21,1006;1666;945;329;1114
22,1666;995;753;2597;1182
23,281;6972;287;815;1708
24,768;5167;3803;14717;1728
25,381;29;10945;8787;8327
26,5317;29;829;5896;2160
27,6417;11744;12975;12772;4019
28,6806;6808;6810;6804;381
29,3415;1182;3177;484;7659
30,1193;5885;1975;18;11843
31,1641;3171;1564;10781;14505
32,3735;3025;6178;2252;3819
33,8033;7546;781;9967;9165
34,1105;12258;12252;13300;16610
35,2241;2222;1214;4821;7916
36,2921;2654;2955;940;69
37,1930;2270;4778;10606;1198
38,136;2901;2692;3974;7546
39,3706;4203;6826;5865;4633
40,5636;4368;5198;2293;5630
41,8463;2390;4393;3092;7809
42,1380;1148;177;4865;23
43,889;4258;10813;1949;4252
44,1214;454;7516;522;11364
45,17;381;1797;11206;10945
46,4171;10582;5936;12422;6716
47,14636;8303;12116;1080;4310
48,486;1627;6433;10777;7597
49,2217;1214;4304;12407;3442
50,16;2241;685;7906;51
51,1666;9393;1182;945;4947
52,2217;710;550;14150;8512
53,1404;2447;6022;3261;4213
54,1022;2711;11250;1;5638
55,3313;3308;2876;2265;880
56,768;1627;12527;3382;9775
57,6835;5769;10199;2347;2237
58,6360;14477;15277;14608;4385
59,9557;9354;4798;10611;12441
60,846;6921;2230;1197;831
61,1204;1105;3805;3167;15359
62,2236;1666;7868;506;2462
63,13223;7714;11317;8051;13141
64,1949;1153;918;3133;11815
65,11916;5378;12629;6825;9750
66,4249;8218;7484;3004;1384
67,11568;1010;1901;14608;1231
68,3982;8505;7895;7263;12418
69,5669;11399;11381;11483;11431
70,15210;14462;7326;10677;15814
71,9104;1105;1975;1707;28
72,3425;434;4344;8013;1435
73,478;29;2779;1143;12391
