1,4890;3951;3405;2527;3298
2,15635;5573;8991;12897;943
3,8354;792;7873;3010;9091
4,777;710;2992;11156;756
5,11878;5495;4036;12161;15026
6,1966;954;691;650;671
7,3580;10224;13407;10671;15731
8,10253;11106;2527;8338;6317
9,6980;4507;4904;4364;4863
10,4900;831;7787;8224;2096
11,2450;2915;1129;3661;241
12,4013;2830;1042;2435;3867
13,3628;2769;6783;15;4409
14,3076;967;2590;2879;8072
15,8167;2534;12572;9629;14993
16,2968;4180;4096;9413;12751
17,886;1182;2636;2795;5850
18,4140;5702;2720;2722;4794
19,3065;5526;4236;10410;2579
20,13943;10506;13444;12843;11329
21,2220;1114;109;329;945
22,1692;1545;995;1115;753
23,281;911;287;815;1157
24,1738;768;5167;3803;467
25,14263;14791;10945;15601;381
26,5317;4882;5551;1833;2160
27,4019;8852;9843;6417;11744
28,2692;3330;6804;741;381
29,1182;16871;5057;1346;14495
30,2610;3338;1916;1193;7520
31,4760;1564;3171;5234;2025
32,13899;6178;3735;14135;7864
33,9967;7546;8505;9165;292
34,13648;16102;12531;9164;11919
35,2836;2222;562;1214;7383
36,5266;10700;7899;2955;940
37,11447;3080;2270;9819;9691
38,2902;3974;3294;661;2692
39,13535;615;6435;15760;2871
40,28;5624;4142;1040;5636
41,8061;11160;15134;3092;2390
42,1148;1758;6320;1443;1981
43,1949;1137;4263;5323;10219
44,1866;1214;1101;934;522
45,1227;1797;381;3429;217
46,620;1032;3142;246;3468
47,13002;11957;6361;13864;12116
48,1621;486;2928;3128;1583
49,7466;4304;3442;1214;10816
50,685;1293;209;1309;1311
51,1182;1975;1184;945;1666
52,1343;397;3915;189;1034
53,808;1404;2447;3261;4604
54,11250;2711;6304;2611;5788
55,6116;2665;709;880;6661
56,1705;496;1627;1538;768
57,5769;2347;6835;3169;10263
58,12245;14047;6360;7461;4385
59,6838;10908;11667;11916;13181
60,2227;4957;930;2230;1197
61,14367;1105;12384;1204;9141
62,1666;10580;9825;10845;2236
63,4503;13309;8461;6654;5839
64,2754;1153;16456;1911;918
65,11916;4696;14181;13217;14090
66,5647;7566;5685;2449;7156
67,741;761;923;1010;1901
68,10972;2359;7895;8505;3982
69,1741;2071;4175;6909;2571
70,7326;15210;15462;14462;5682
71,885;1707;1048;1975;977
72,4344;8295;4835;9237;6111
73,12391;2779;29;478;9579
74,5263;16046;13547;10031;4860
75,13110;11324;10985;11198;2583
76,4963;1589;82;1558;1659
77,13174;4255;13086;2012;8418
78,1887;12358;3343;3019;4493
79,13631;13639;13635;13633;3632
80,7923;2463;13365;2795;8293
81,1812;12096;6672;4478;11665
82,857;3082;2753;5425;11269
83,607;572;602;596;563
84,10039;11443;9889;12075;561
85,2744;4079;2732;1731;4930
86,930;9606;13397;8879;1210
87,198;4021;4808;4103;3096
88,1825;1831;1827;643;1331
89,2987;15010;1246;7568;15044
90,4494;4463;1364;810;6348
91,248;1010;484;487;29
92,31;135;150;657;2266
93,6575;2166;12878;1713;13084
94,3982;98;1150;505;177
95,318;222;1244;308;383
96,87;1748;747;266;8442
97,682;2127;2931;1768;889
98,9201;4202;2088;3979;547
99,10036;656;2342;4332;13060
100,2829;4410;889;1735;4428
101,3831;3436;6769;1248;4422
102,4749;2236;1892;1836;1004
103,9234;7683;4012;4446;3118
104,13944;11338;4422;10606;1351
105,10899;8066;2309;292;12728
106,2516;569;1488;2199;1385
107,16380;15317;15951;12446;16151
108,10579;4739;4743;8133;1043
109,1049;24;4165;1384;793
110,5589;55;1867;1819;1029
111,2567;1015;15983;4806;12977
112,10792;3486;3943;919;9129
113,121;399;163;444;1119
114,8441;14529;9164;13302;5692
